x1,x2,x3,dates,target_dates,target_sunspots
32.5811758031705,-120.82670946114547,35.42240919154194,1973-03-31,1984-01-31,
29.302858137646446,-122.3026809071293,39.1783468347374,1973-04-30,1984-02-29,
25.812224762170214,-124.40416373854733,46.493155644883586,1973-05-31,1984-03-31,
21.841379059596647,-121.17472706672373,31.770696294219682,1973-06-30,1984-04-30,
12.53708714605837,-126.750450720628,54.87923364806689,1973-07-31,1984-05-31,
-1.7093102796152169,-123.67638222520971,36.09157431526127,1973-08-31,1984-06-30,
-0.281814172170962,-122.1306943225071,27.01580352226439,1973-09-30,1984-07-31,
-7.6687715665813485,-121.14652159220248,20.50175080663339,1973-10-31,1984-08-31,
-21.71336475963447,-124.73462119067361,30.35565935228496,1973-11-30,1984-09-30,
-28.859175013877387,-126.33748900344574,36.92112223906136,1973-12-31,1984-10-31,
-37.08229367323883,-127.04733168771632,30.845781368154444,1974-01-31,1984-11-30,
-33.4269342068996,-127.62153528651695,36.91812859657868,1974-02-28,1984-12-31,
-40.083377834852556,-125.01551577757839,23.68556966817961,1974-03-31,1985-01-31,
-44.01688382489179,-125.10803711743758,20.489194857096795,1974-04-30,1985-02-28,
-42.1467018856921,-123.4243343855394,13.613341411777917,1974-05-31,1985-03-31,
-37.45259243750666,-121.97331419620309,9.156904398557419,1974-06-30,1985-04-30,
-29.637100889526632,-123.19645097828347,13.832847364079303,1974-07-31,1985-05-31,
-29.158622138536913,-120.1805463305223,1.8436401769321873,1974-08-31,1985-06-30,
-18.898856591228636,-116.91972814789047,-7.099359024572847,1974-09-30,1985-07-31,
-20.035339849931123,-115.86798495408762,-13.847379722808258,1974-10-31,1985-08-31,
-30.61963225442784,-116.88852613808868,-14.491412791334586,1974-11-30,1985-09-30,
-37.09571157393394,-121.49705674206034,3.8148230648993735,1974-12-31,1985-10-31,
-47.508464720692814,-121.09662493432432,-4.462624607736307,1975-01-31,1985-11-30,
-61.736598050471876,-127.22546759521636,16.487507684238896,1975-02-28,1985-12-31,
-72.34856160968853,-127.71395396911574,15.31500612412698,1975-03-31,1986-01-31,
-81.06531999689248,-128.53529753427452,18.372842653296168,1975-04-30,1986-02-28,
-95.9992772969353,-131.2158022722999,22.606870127463296,1975-05-31,1986-03-31,
-102.52033827021859,-132.5460839560502,25.10121466102488,1975-06-30,1986-04-30,
-97.520612599659,-128.40203705299578,8.12669817688588,1975-07-31,1986-05-31,
-93.11021752268913,-126.3207858075766,-2.025709811590057,1975-08-31,1986-06-30,
-86.1816923158008,-127.3122436898046,7.92454529667211,1975-09-30,1986-07-31,
-93.39124086814255,-125.05229121664537,-5.354933524821331,1975-10-31,1986-08-31,
-99.70190758509027,-121.28983055139152,-24.99943849919059,1975-11-30,1986-09-30,
-102.38295417369369,-122.26556743735429,-21.446597273784086,1975-12-31,1986-10-31,
-104.66015856400699,-123.89647329908826,-18.689278143582698,1976-01-31,1986-11-30,
-117.29525671492355,-125.23245176334865,-17.689019549735306,1976-02-29,1986-12-31,
-121.30770697076922,-125.15033448937513,-21.136306545057728,1976-03-31,1987-01-31,
-115.97485536488841,-127.79186749487481,-7.597756806186529,1976-04-30,1987-02-28,
-115.22280498023892,-125.26151647872028,-17.764010564125222,1976-05-31,1987-03-31,
-118.5132435709548,-124.8367071791784,-20.918773397470886,1976-06-30,1987-04-30,
-116.21395685859221,-125.1336724766662,-15.478614060278593,1976-07-31,1987-05-31,
-114.72670494942554,-123.16346464156771,-24.576512883034617,1976-08-31,1987-06-30,
-116.16950464369576,-128.2740803663918,-4.706079629049786,1976-09-30,1987-07-31,
-116.98629769867574,-124.07484759736951,-23.162973749131528,1976-10-31,1987-08-31,
-124.58587403051096,-122.0340325911638,-35.18213935919921,1976-11-30,1987-09-30,
-127.40250594399238,-121.21723082088512,-40.96746375919962,1976-12-31,1987-10-31,
-125.67850298557124,-122.33116049514821,-40.138450879023914,1977-01-31,1987-11-30,
-119.85271093823953,-120.14855830363068,-48.44349187588885,1977-02-28,1987-12-31,
-118.8065655352238,-120.12359013803498,-46.631102043360386,1977-03-31,1988-01-31,
-120.48571439706349,-122.52078698477057,-37.76324253856875,1977-04-30,1988-02-29,
-121.78522618575441,-122.57503640872241,-38.43629621424773,1977-05-31,1988-03-31,
-107.82894777413364,-119.91836835805431,-45.64658836339412,1977-06-30,1988-04-30,
-103.01045733792088,-123.66421833838899,-27.623380465219064,1977-07-31,1988-05-31,
-93.2745193386483,-120.51857320033427,-35.98979279323331,1977-08-31,1988-06-30,
-89.48495467069903,-117.51351771777607,-50.63276404075831,1977-09-30,1988-07-31,
-73.83657464062148,-115.92656599465555,-52.31152494518938,1977-10-31,1988-08-31,
-71.89483195623504,-112.9224005332113,-63.76546648541321,1977-11-30,1988-09-30,
-63.61270551071665,-110.29944782448976,-72.13188603560843,1977-12-31,1988-10-31,
-56.00916979196597,-109.75041205533834,-76.64372005907529,1978-01-31,1988-11-30,
-23.802745691495673,-103.0711557824015,-95.81384834603418,1978-02-28,1988-12-31,
-4.3057927225291195,-101.39623669433644,-96.34851469242513,1978-03-31,1989-01-31,
21.54824945426036,-95.8911602173895,-112.3215703523745,1978-04-30,1989-02-28,
37.31372865673341,-93.89352643005628,-115.26822647755532,1978-05-31,1989-03-31,
67.99017478974119,-91.02202759737489,-115.32187839856863,1978-06-30,1989-04-30,
70.87694903639604,-92.27106483077628,-109.13240696429018,1978-07-31,1989-05-31,
75.98077233434877,-96.59089718292194,-85.10701317040892,1978-08-31,1989-06-30,
100.08469782771984,-88.55390325253393,-112.79545157129519,1978-09-30,1989-07-31,
124.24805810530555,-84.81582019544244,-120.92522361074988,1978-10-31,1989-08-31,
125.30821792729135,-83.75366455763644,-127.51313844958092,1978-11-30,1989-09-30,
144.67115822525423,-81.1387301133485,-130.2084668342682,1978-12-31,1989-10-31,
180.33627718213606,-76.8210743568559,-142.20769325818358,1979-01-31,1989-11-30,
221.65149656027302,-73.1518882239702,-139.85970233194755,1979-02-28,1989-12-31,
242.9481241096177,-71.48632392459618,-140.27144772264936,1979-03-31,1990-01-31,
234.2081249829504,-74.84122054630798,-125.08901073545533,1979-04-30,1990-02-28,
237.35492400511504,-73.69780535863076,-129.4552774995497,1979-05-31,1990-03-31,
264.11498424582726,-73.23153471189045,-119.42489656251465,1979-06-30,1990-04-30,
273.0241342348272,-67.4046882906807,-144.5943047837432,1979-07-31,1990-05-31,
270.50247839876454,-70.45193545538397,-133.19700386128247,1979-08-31,1990-06-30,
317.6936779264872,-67.87512222639336,-123.36615804846983,1979-09-30,1990-07-31,
338.3860471557706,-65.0854545784966,-130.2317091951025,1979-10-31,1990-08-31,
360.8582645967037,-57.087429014235965,-158.75620155598367,1979-11-30,1990-09-30,
386.38617641595175,-58.50334966278015,-140.15362421508306,1979-12-31,1990-10-31,
402.31302795442303,-61.34727304775086,-121.49991711500054,1980-01-31,1990-11-30,
401.6587870511301,-66.95630693838196,-95.10108043160572,1980-02-29,1990-12-31,
386.8213799145674,-66.77045503084273,-98.7838921626824,1980-03-31,1991-01-31,
377.1194339149265,-70.19920574272038,-88.54392550524655,1980-04-30,1991-02-28,
386.193683776615,-69.15814047725564,-90.21828378104445,1980-05-31,1991-03-31,
390.3098492790709,-73.76017489044642,-67.79324748196944,1980-06-30,1991-04-30,
373.34240130537137,-71.69215354199578,-82.57048248850795,1980-07-31,1991-05-31,
356.7736981972633,-74.12211426610105,-78.90234611034793,1980-08-31,1991-06-30,
386.18248406569734,-83.46249359897988,-20.098453627428167,1980-09-30,1991-07-31,
396.98476066078115,-80.59771136872564,-29.606469463534594,1980-10-31,1991-08-31,
385.6318341778006,-76.92474194556459,-51.12779162829738,1980-11-30,1991-09-30,
391.5636234089682,-80.29123145909735,-35.064615995198025,1980-12-31,1991-10-31,
377.5442213238599,-89.73231839648126,0.2313587199514318,1981-01-31,1991-11-30,
375.0194267270594,-93.53334452130035,13.187589858980587,1981-02-28,1991-12-31,
362.2895624119969,-92.2432935532561,2.8889557600054343,1981-03-31,1992-01-31,
371.6659291256492,-91.83682638595245,2.9538693552274453,1981-04-30,1992-02-29,
367.3082609002746,-94.44226690205367,16.76820303026049,1981-05-31,1992-03-31,
338.9490475037447,-102.19330634600153,41.78294182652609,1981-06-30,1992-04-30,
325.2273924213579,-99.93195032181445,25.333358705697663,1981-07-31,1992-05-31,
338.0219647414621,-94.01835124940786,2.4517693881434663,1981-08-31,1992-06-30,
373.6322085278207,-106.61346699184128,70.40313992524783,1981-09-30,1992-07-31,
384.1936916926019,-102.72697889957952,57.292819825717054,1981-10-31,1992-08-31,
370.20347742136283,-99.27976292876568,36.74579249014309,1981-11-30,1992-09-30,
384.71921100501913,-101.5005407014208,52.362178612946224,1981-12-31,1992-10-31,
368.0262827185058,-108.67274428161755,70.6774757770649,1982-01-31,1992-11-30,
380.84540639998716,-102.76927686307722,50.84477229215662,1982-02-28,1992-12-31,
372.97522955291697,-100.3211885141289,34.73754907996601,1982-03-31,1993-01-31,
368.52529026520904,-100.59108953372368,39.40320514829918,1982-04-30,1993-02-28,
331.87594016811056,-112.44889581849797,78.63072930417792,1982-05-31,1993-03-31,
305.05904038270745,-114.95709759790198,76.49014370113666,1982-06-30,1993-04-30,
300.6661693856786,-117.13112319100462,86.14661470274977,1982-07-31,1993-05-31,
300.13870070127416,-115.31152312372103,79.78858836849489,1982-08-31,1993-06-30,
294.0098953779787,-125.25716891579779,120.13009856389105,1982-09-30,1993-07-31,
272.8390048393674,-128.28572826284739,125.51800959011442,1982-10-31,1993-08-31,
254.19118751218275,-127.08010964401382,110.63569670925364,1982-11-30,1993-09-30,
274.4522356484302,-126.36107218599139,116.92224383507168,1982-12-31,1993-10-31,
241.29109916422698,-120.98927910030793,72.19188580295278,1983-01-31,1993-11-30,
233.92510920690884,-127.56211101289446,105.56169085078002,1983-02-28,1993-12-31,
205.56406373147362,-126.56388028978029,91.81649508524254,1983-03-31,1994-01-31,
189.7838347362153,-135.364878975662,122.16354079754592,1983-04-30,1994-02-28,
180.00698926721824,-133.40041322741294,103.93238279031804,1983-05-31,1994-03-31,
176.5162395910188,-126.79205157780355,72.9899443496677,1983-06-30,1994-04-30,
169.96789328654987,-129.5376869187813,85.12101895625055,1983-07-31,1994-05-31,
166.11931805198085,-131.54180486873153,93.73706025382602,1983-08-31,1994-06-30,
164.32046414275092,-137.0252811930111,119.65548340916332,1983-09-30,1994-07-31,
148.52136388146306,-139.53353272495102,123.86950449163038,1983-10-31,1994-08-31,
120.58311074180507,-138.74322807348966,110.85045709265644,1983-11-30,1994-09-30,
105.7700752434307,-147.61217410796513,146.26866230694208,1983-12-31,1994-10-31,
