sunspots,dates,year,month,lag_1_sunspots,lag_2_sunspots,lag_3_sunspots,lag_4_sunspots,lag_5_sunspots,lag_6_sunspots,lag_12_sunspots,lag_24_sunspots,lag_36_sunspots,avg_3_sunspots,avg_6_sunspots,avg_12_sunspots,avg_24_sunspots,avg_36_sunspots,roll_max_sunspots,roll_min_sunspots,roll_avg_sunspots,target_dates,target_sunspots
57.7,1973-04-30,1973,4,46.0,42.9,43.4,45.3,41.6,61.3,63.2,71.8,109.5,48.86666666666656,46.15000000000026,60.33333333333311,63.09166666666676,72.82222222222231,253.8,0.0,49.96760772659734,1984-01-31,
42.4,1973-05-31,1973,5,57.7,46.0,42.9,43.4,45.3,41.6,80.5,57.5,127.5,48.699999999999896,46.283333333333594,57.158333333333104,62.4625000000001,70.45833333333343,253.8,0.0,49.964797623468264,1984-02-29,
39.5,1973-06-30,1973,6,42.4,57.7,46.0,42.9,43.4,45.3,88.0,49.8,106.8,46.533333333333225,45.316666666666926,53.11666666666644,62.03333333333344,68.58888888888897,253.8,0.0,49.96091314031182,1984-03-31,
23.1,1973-07-31,1973,7,39.5,42.4,57.7,46.0,42.9,43.4,76.5,81.0,112.5,34.99999999999989,41.93333333333359,48.66666666666644,59.62083333333343,66.10555555555564,253.8,0.0,49.9509461966605,1984-04-30,
25.6,1973-08-31,1973,8,23.1,39.5,42.4,57.7,46.0,42.9,76.8,61.4,93.0,29.399999999999896,39.05000000000026,44.39999999999977,58.129166666666755,64.2333333333334,253.8,0.0,49.941913946587555,1984-05-31,
59.3,1973-09-30,1973,9,25.6,23.1,39.5,42.4,57.7,46.0,64.0,50.2,99.5,35.99999999999989,41.26666666666693,44.0083333333331,58.50833333333342,63.11666666666675,253.8,0.0,49.945383759733055,1984-06-30,
30.7,1973-10-31,1973,10,59.3,25.6,23.1,39.5,42.4,57.7,61.3,51.7,86.6,38.53333333333323,36.76666666666693,41.458333333333094,57.63333333333342,61.56388888888897,253.8,0.0,49.9382505559674,1984-07-31,
23.9,1973-11-30,1973,11,30.7,59.3,25.6,23.1,39.5,42.4,41.6,63.2,95.2,37.96666666666656,33.68333333333359,39.98333333333309,55.99583333333342,59.58333333333342,253.8,0.0,49.928603186365336,1984-08-31,
23.3,1973-12-31,1973,12,23.9,30.7,59.3,25.6,23.1,39.5,45.3,82.2,83.5,25.966666666666566,30.983333333333594,38.14999999999976,53.54166666666675,57.911111111111204,253.8,0.0,49.91874074074075,1984-09-30,
27.6,1974-01-31,1974,1,23.3,23.9,30.7,59.3,25.6,23.1,43.4,61.5,91.3,24.933333333333234,31.733333333333594,36.833333333333094,52.12916666666675,56.14166666666676,253.8,0.0,49.910477600888576,1984-10-31,
26.0,1974-02-28,1974,2,27.6,23.3,23.9,30.7,59.3,25.6,42.9,88.4,79.0,25.63333333333323,31.800000000000264,35.42499999999976,49.52916666666675,54.66944444444454,253.8,0.0,49.90162842339009,1984-11-30,
21.3,1974-03-31,1974,3,26.0,27.6,23.3,23.9,30.7,59.3,46.0,80.1,60.7,24.966666666666566,25.466666666666935,33.36666666666643,47.079166666666744,53.57500000000009,253.8,0.0,49.89104698483168,1984-12-31,
40.3,1974-04-30,1974,4,21.3,26.0,27.6,23.3,23.9,30.7,57.7,63.2,71.8,29.199999999999893,27.066666666666933,31.916666666666433,46.12500000000008,52.70000000000009,253.8,0.0,49.88750000000001,1985-01-31,
39.5,1974-05-31,1974,5,40.3,21.3,26.0,27.6,23.3,23.9,42.4,80.5,57.5,33.699999999999896,29.66666666666693,31.67499999999977,44.41666666666674,52.20000000000009,253.8,0.0,49.883659889094275,1985-02-28,
36.0,1974-06-30,1974,6,39.5,40.3,21.3,26.0,27.6,23.3,39.5,88.0,49.8,38.599999999999895,31.783333333333598,31.383333333333102,42.25000000000008,51.816666666666755,253.8,0.0,49.87852919438286,1985-03-31,
55.8,1974-07-31,1974,7,36.0,39.5,40.3,21.3,26.0,27.6,23.1,76.5,81.0,43.76666666666656,36.4833333333336,34.1083333333331,41.387500000000074,51.11666666666676,253.8,0.0,49.88071666050979,1985-04-30,
33.6,1974-08-31,1974,8,55.8,36.0,39.5,40.3,21.3,26.0,25.6,76.8,61.4,41.79999999999989,37.75000000000026,34.77499999999977,39.58750000000008,50.34444444444453,253.8,0.0,49.874704579025114,1985-05-31,
40.2,1974-09-30,1974,9,33.6,55.8,36.0,39.5,40.3,21.3,59.3,64.0,50.2,43.199999999999896,40.90000000000026,33.1833333333331,38.59583333333341,50.06666666666675,253.8,0.0,49.87113325950536,1985-06-30,
47.1,1974-10-31,1974,10,40.2,33.6,55.8,36.0,39.5,40.3,30.7,61.3,51.7,40.2999999999999,42.033333333333594,34.54999999999977,38.00416666666675,49.93888888888897,253.8,0.0,49.87011070110702,1985-07-31,
25.0,1974-11-30,1974,11,47.1,40.2,33.6,55.8,36.0,39.5,23.9,41.6,63.2,37.43333333333323,39.61666666666692,34.64166666666644,37.31250000000008,48.87777777777786,253.8,0.0,49.860936923644424,1985-08-31,
20.5,1974-12-31,1974,12,25.0,47.1,40.2,33.6,55.8,36.0,23.3,45.3,82.2,30.866666666666564,37.033333333333594,34.408333333333104,36.27916666666675,47.16388888888897,253.8,0.0,49.850110619469035,1985-09-30,
18.9,1975-01-31,1975,1,20.5,25.0,47.1,40.2,33.6,55.8,27.6,43.4,61.5,21.466666666666566,30.883333333333596,33.6833333333331,35.25833333333342,45.98055555555564,253.8,0.0,49.83870254331,1985-10-31,
11.5,1975-02-28,1975,2,18.9,20.5,25.0,47.1,40.2,33.6,26.0,42.9,88.4,16.966666666666566,27.200000000000262,32.47499999999977,33.95000000000008,43.84444444444452,253.8,0.0,49.82457627118645,1985-11-30,
11.5,1975-03-31,1975,3,11.5,18.9,20.5,25.0,47.1,40.2,21.3,46.0,80.1,13.966666666666564,22.41666666666693,31.6583333333331,32.51250000000008,41.93888888888897,253.8,0.0,49.81046040515655,1985-12-31,
5.1,1975-04-30,1975,4,11.5,11.5,18.9,20.5,25.0,47.1,40.3,57.7,63.2,9.366666666666566,15.416666666666933,28.724999999999767,30.320833333333415,40.325000000000074,253.8,0.0,49.79399852724596,1986-01-31,
9.0,1975-05-31,1975,5,5.1,11.5,11.5,18.9,20.5,25.0,39.5,42.4,80.5,8.533333333333232,12.750000000000265,26.1833333333331,28.92916666666675,38.33888888888897,253.8,0.0,49.77898417372103,1986-02-28,
