x1,x2,x3,dates,target_dates,target_sunspots
-19.73958780778122,113.41754227245362,70.61251246935385,1752-01-31,1762-12-31,77.2
-29.37193466436987,112.89844204893205,66.2337975786468,1752-02-29,1763-01-31,56.5
-17.87447429196554,112.9267035067048,68.81428291241424,1752-03-31,1763-02-28,31.9
-2.410099037216954,117.3478168939739,55.39037416668328,1752-04-30,1763-03-31,34.2
13.30151252722844,114.85009970063008,71.75503451757723,1752-05-31,1763-04-30,32.9
11.482988644323866,113.6952177886255,77.45021230210638,1752-06-30,1763-05-31,32.7
26.986377067510876,115.63031284466966,73.2048749335967,1752-07-31,1763-06-30,35.8
19.741218397448836,116.6063535795986,69.51993665142294,1752-08-31,1763-07-31,54.2
-1.737163053219244,114.46192476792383,69.00686975642061,1752-09-30,1763-08-31,26.5
-16.92487377292198,115.26925982977248,57.97565380614528,1752-10-31,1763-09-30,68.1
-16.964148575397246,102.62951512216965,111.75807562171038,1752-11-30,1763-10-31,46.3
-21.043502164185995,111.72110217006905,73.13811196845032,1752-12-31,1763-11-30,60.9
-26.19040542301372,112.87026599009982,61.17761008354725,1753-01-31,1763-12-31,61.4
-41.01982873330083,113.14891006305952,52.910367431455384,1753-02-28,1764-01-31,59.7
-29.0505995929065,111.85792983272553,63.80397470383821,1753-03-31,1764-02-29,59.7
-29.016993030441963,111.15279975399429,67.29236418119099,1753-04-30,1764-03-31,40.2
-31.741669847338557,110.19043916051736,70.59804146709087,1753-05-31,1764-04-30,34.4
-42.28255733556372,109.0813057330923,69.78965293195316,1753-06-30,1764-05-31,44.3
-39.587590636308555,108.12859380299645,79.27035937363891,1753-07-31,1764-06-30,30.0
-53.85342191524506,106.56089686259685,76.41093764469237,1753-08-31,1764-07-31,30.0
-64.664808112319,110.95883064460754,51.10990068163889,1753-09-30,1764-08-31,30.0
-68.22540362963224,113.68372704462824,39.4770668135112,1753-10-31,1764-09-30,28.2
-78.0179753179434,112.32241128173088,41.9788239204549,1753-11-30,1764-10-31,28.0
-86.31356318485233,107.11748979330955,63.063841303223,1753-12-31,1764-11-30,26.0
-101.1091335766382,105.42749129280544,61.07205085131329,1754-01-31,1764-12-31,25.7
-113.46326407137433,106.31159167090891,54.036872079569505,1754-02-28,1765-01-31,24.0
-119.88791613481445,102.31756301107424,71.21423453938115,1754-03-31,1765-02-28,26.0
-128.0137730172569,101.55684822838542,69.1494981224035,1754-04-30,1765-03-31,25.0
-128.84512402260438,101.45342244262689,67.86511972852125,1754-05-31,1765-04-30,22.0
-129.88831840080653,106.02124327012142,44.61152352220393,1754-06-30,1765-05-31,20.2
-120.22030490953854,101.3720154196303,69.8291261372053,1754-07-31,1765-06-30,20.0
-123.29148750648712,106.7352339525669,43.32664579963719,1754-08-31,1765-07-31,27.0
-129.88633720337313,111.88235751410812,18.8208105657867,1754-09-30,1765-08-31,29.7
-120.19039430827479,111.23304197880137,26.193081661980287,1754-10-31,1765-09-30,16.0
-123.6931059903996,111.07775912309502,24.77013127371073,1754-11-30,1765-10-31,14.0
-132.25088181641163,107.66433828595002,36.0030395559044,1754-12-31,1765-11-30,14.0
-140.4402291899559,106.85333471652366,32.11680649884404,1755-01-31,1765-12-31,13.0
-143.42499930196848,105.45427692567331,36.0147120190532,1755-02-28,1766-01-31,12.0
-141.6715123876773,101.06122915329856,56.36369994183823,1755-03-31,1766-02-28,11.0
-143.23526370883502,102.98212959629554,48.00804090754021,1755-04-30,1766-03-31,36.6
-151.25065425383775,101.819553236958,50.441012263823154,1755-05-31,1766-04-30,6.0
-157.6020539210661,104.30920102149199,37.689404879647036,1755-06-30,1766-05-31,26.8
-158.15316127179153,99.80736888705881,55.045326611102425,1755-07-31,1766-06-30,3.0
-163.12581520857748,105.2181572991909,31.033124652135196,1755-08-31,1766-07-31,3.3
-162.52440493191114,107.4966135694765,19.328188530487648,1755-09-30,1766-08-31,4.0
-150.78665181361563,106.25472356887916,28.53906408364492,1755-10-31,1766-09-30,4.3
-154.89467105715698,108.20629833512605,17.6557010541042,1755-11-30,1766-10-31,5.0
-152.54139825171998,110.18002340306441,8.06539560192855,1755-12-31,1766-11-30,5.7
-149.12710475911007,109.4292214986324,8.501923706967395,1756-01-31,1766-12-31,19.2
-149.50532996922877,110.73353305498243,3.4708513257674523,1756-02-29,1767-01-31,27.4
-151.40876418035882,108.36388803530795,13.226954529080318,1756-03-31,1767-02-28,30.0
-153.29247914181346,107.9323324056697,15.358736548867935,1756-04-30,1767-03-31,43.0
-156.2100983817436,107.56821082899202,15.485256374469943,1756-05-31,1767-04-30,32.9
-153.34164450021217,108.01904590350523,14.947888166108772,1756-06-30,1767-05-31,29.8
-159.0770360340917,109.22763506044687,7.792241648158038,1756-07-31,1767-06-30,33.3
-162.959927426389,107.07608857162082,14.66795925579836,1756-08-31,1767-07-31,21.9
-159.38396064663146,109.17920256830081,7.440352634071927,1756-09-30,1767-08-31,40.8
-151.79395759380697,108.80311274517034,13.092060809807268,1756-10-31,1767-09-30,42.7
-155.1855809762386,111.2294137737277,-0.8859163883347038,1756-11-30,1767-10-31,44.1
-155.70923505401498,113.64363980061376,-11.126935183778874,1756-12-31,1767-11-30,54.7
-156.02592107223379,113.40098026201628,-14.674526983366265,1757-01-31,1767-12-31,53.3
-150.58807342023786,113.86540071192444,-15.28937957171098,1757-02-28,1768-01-31,53.5
-143.46071522981367,115.77687023391547,-21.87573830105456,1757-03-31,1768-02-29,66.1
-133.54046524784073,115.3873295146349,-17.06103244845491,1757-04-30,1768-03-31,46.3
-123.23236423580252,116.64537146619337,-19.917998421153698,1757-05-31,1768-04-30,42.7
-124.65974252139065,115.24966724579961,-13.687607112374009,1757-06-30,1768-05-31,77.7
-120.99234184669533,116.22248132638624,-16.16026394329082,1757-07-31,1768-06-30,77.4
-107.20812846121912,119.88063754197542,-28.08811718007028,1757-08-31,1768-07-31,52.6
-94.0188205681796,120.63030065285126,-25.466209535370343,1757-09-30,1768-08-31,66.8
-87.87906395210449,118.2311899047275,-12.295460166813053,1757-10-31,1768-09-30,74.8
-77.20735117828016,123.59410216525109,-33.890063810194,1757-11-30,1768-10-31,77.8
-77.22616508558487,123.71818137505181,-33.51594014112765,1757-12-31,1768-11-30,90.6
-67.82141438015763,123.41788801183974,-32.67153980045905,1758-01-31,1768-12-31,111.8
-59.15780005880826,124.48450626434601,-33.842373097431185,1758-02-28,1769-01-31,73.9
-56.03871452025847,125.68485866104638,-38.10902062232751,1758-03-31,1769-02-28,64.2
-38.33848048296245,128.0191149365454,-42.54121129813497,1758-04-30,1769-03-31,64.3
-32.61103112428678,128.6954136439161,-41.68473909156053,1758-05-31,1769-04-30,96.7
-43.136749146603215,128.22438701304515,-45.08258576878807,1758-06-30,1769-05-31,73.6
-39.21947041784048,127.39205697573675,-39.028120721984386,1758-07-31,1769-06-30,94.4
-32.78138633591579,127.12369667614468,-32.57397577477845,1758-08-31,1769-07-31,118.6
-27.490759516548415,125.63861718538635,-25.457444915657824,1758-09-30,1769-08-31,120.3
-33.29616300611403,123.53173597923559,-17.922666750606943,1758-10-31,1769-09-30,148.8
-33.41215544392127,124.58230806106208,-20.443832782000836,1758-11-30,1769-10-31,158.2
-44.276632146106245,122.96359918385338,-19.737420715982434,1758-12-31,1769-11-30,148.1
-39.900173134703934,123.05731264178607,-22.332351889524222,1759-01-31,1769-12-31,112.0
-34.50296382471771,123.10842107865466,-18.917629376314004,1759-02-28,1770-01-31,104.0
-32.231774935277706,123.05910557940342,-17.484311196556842,1759-03-31,1770-02-28,142.5
-29.226912588985083,121.60102721880894,-8.801351530482034,1759-04-30,1770-03-31,80.1
