sunspots,dates,year,month,lag_1_sunspots,lag_2_sunspots,lag_3_sunspots,lag_4_sunspots,lag_5_sunspots,lag_6_sunspots,lag_12_sunspots,lag_24_sunspots,lag_36_sunspots,avg_3_sunspots,avg_6_sunspots,avg_12_sunspots,avg_24_sunspots,avg_36_sunspots,roll_max_sunspots,roll_min_sunspots,roll_avg_sunspots,target_dates,target_sunspots
35.0,1752-01-31,1752,1,44.0,28.5,23.2,23.5,59.8,66.3,70.0,73.3,58.0,35.83333333333332,35.666666666666686,44.741666666666674,63.929166666666696,70.01944444444445,158.6,23.2,69.6945945945946,1762-11-30,77.8
50.0,1752-02-29,1752,2,35.0,44.0,28.5,23.2,23.5,59.8,43.5,75.9,62.6,42.99999999999999,34.03333333333335,45.28333333333334,62.85000000000002,69.66944444444445,158.6,23.2,69.17631578947369,1762-12-31,77.2
71.0,1752-03-31,1752,3,50.0,35.0,44.0,28.5,23.2,23.5,45.3,89.2,70.0,51.99999999999999,41.95000000000002,47.42500000000001,62.09166666666669,69.69722222222224,158.6,23.2,69.22307692307693,1763-01-31,56.5
59.3,1752-04-30,1752,4,71.0,50.0,35.0,44.0,28.5,23.2,56.4,88.3,55.7,60.09999999999999,47.96666666666669,47.66666666666668,60.883333333333354,69.79722222222225,158.6,23.2,68.97500000000001,1763-02-28,31.9
59.7,1752-05-31,1752,5,59.3,71.0,50.0,35.0,44.0,28.5,60.7,90.0,85.0,63.333333333333314,53.166666666666686,47.58333333333334,59.62083333333336,69.09444444444446,158.6,23.2,68.74878048780488,1763-03-31,34.2
39.6,1752-06-30,1752,6,59.7,59.3,71.0,50.0,35.0,44.0,50.7,100.0,83.5,52.866666666666646,52.43333333333336,46.65833333333334,57.104166666666686,67.87500000000001,158.6,23.2,68.0547619047619,1763-04-30,32.9
78.4,1752-07-31,1752,7,39.6,59.7,59.3,71.0,50.0,35.0,66.3,85.4,94.8,59.23333333333331,59.666666666666686,47.66666666666668,56.81250000000002,67.41944444444445,158.6,23.2,68.2953488372093,1763-05-31,32.7
29.3,1752-08-31,1752,8,78.4,39.6,59.7,59.3,71.0,50.0,59.8,103.0,66.3,49.09999999999997,56.21666666666669,45.12500000000001,53.74166666666668,66.39166666666668,158.6,23.2,67.40909090909092,1763-06-30,35.8
27.1,1752-09-30,1752,9,29.3,78.4,39.6,59.7,59.3,71.0,23.5,91.2,75.9,44.93333333333331,48.90000000000003,45.42500000000001,51.07083333333335,65.03611111111111,158.6,23.2,66.51333333333334,1763-07-31,54.2
46.6,1752-10-31,1752,10,27.1,29.3,78.4,39.6,59.7,59.3,23.2,65.7,75.5,34.33333333333331,46.78333333333336,47.37500000000001,50.275000000000006,64.23333333333333,158.6,23.2,66.0804347826087,1763-08-31,26.5
37.6,1752-11-30,1752,11,46.6,27.1,29.3,78.4,39.6,59.7,28.5,63.3,158.6,37.09999999999997,43.10000000000003,48.13333333333335,49.20416666666667,60.87222222222223,158.6,23.2,65.47446808510638,1763-09-30,68.1
40.0,1752-12-31,1752,12,37.6,46.6,27.1,29.3,78.4,39.6,44.0,75.4,85.2,41.39999999999998,43.16666666666671,47.80000000000001,47.729166666666664,59.616666666666674,158.6,23.2,64.94375000000001,1763-10-31,46.3
44.0,1753-01-31,1753,1,40.0,37.6,46.6,27.1,29.3,78.4,35.0,70.0,73.3,40.53333333333331,37.43333333333337,48.55000000000001,46.645833333333336,58.80277777777778,158.6,23.2,64.51632653061225,1763-11-30,60.9
32.0,1753-02-28,1753,2,44.0,40.0,37.6,46.6,27.1,29.3,50.0,43.5,75.9,38.66666666666665,37.88333333333337,47.05000000000001,46.166666666666664,57.583333333333336,158.6,23.2,63.86600000000001,1763-12-31,61.4
45.7,1753-03-31,1753,3,32.0,44.0,40.0,37.6,46.6,27.1,71.0,45.3,89.2,40.56666666666665,40.98333333333337,44.941666666666684,46.18333333333334,56.375,158.6,23.2,63.509803921568626,1764-01-31,59.7
38.0,1753-04-30,1753,4,45.7,32.0,44.0,40.0,37.6,46.6,59.3,56.4,88.3,38.56666666666665,39.55000000000003,43.166666666666686,45.416666666666664,54.97777777777778,158.6,23.2,63.01923076923077,1764-02-29,59.7
36.0,1753-05-31,1753,5,38.0,45.7,32.0,44.0,40.0,37.6,59.7,60.7,90.0,39.899999999999984,39.28333333333337,41.191666666666684,44.387499999999996,53.47777777777778,158.6,23.2,62.509433962264154,1764-03-31,40.2
31.7,1753-06-30,1753,6,36.0,38.0,45.7,32.0,44.0,40.0,39.6,50.7,100.0,35.23333333333331,37.900000000000034,40.53333333333335,43.59583333333333,51.580555555555556,158.6,23.2,61.93888888888888,1764-04-30,34.4
22.2,1753-07-31,1753,7,31.7,36.0,38.0,45.7,32.0,44.0,78.4,66.3,85.4,29.96666666666665,34.2666666666667,35.850000000000016,41.75833333333333,49.825,158.6,22.2,61.21636363636363,1764-05-31,44.3
39.0,1753-08-31,1753,8,22.2,31.7,36.0,38.0,45.7,32.0,29.3,59.8,103.0,30.96666666666665,35.433333333333366,36.65833333333335,40.89166666666667,48.047222222222224,158.6,22.2,60.81964285714285,1764-06-30,30.0
28.0,1753-09-30,1753,9,39.0,22.2,31.7,36.0,38.0,45.7,27.1,23.5,91.2,29.733333333333317,32.48333333333337,36.73333333333335,41.07916666666667,46.291666666666664,158.6,22.2,60.243859649122804,1764-07-31,30.0
25.0,1753-10-31,1753,10,28.0,39.0,22.2,31.7,36.0,38.0,46.6,23.2,65.7,30.666666666666647,30.316666666666702,34.933333333333344,41.15416666666667,45.16111111111111,158.6,22.2,59.63620689655172,1764-08-31,30.0
20.0,1753-11-30,1753,11,25.0,28.0,39.0,22.2,31.7,36.0,37.6,28.5,63.3,24.333333333333314,27.650000000000034,33.466666666666676,40.800000000000004,43.958333333333336,158.6,20.0,58.96440677966101,1764-09-30,28.2
6.7,1753-12-31,1753,12,20.0,25.0,28.0,39.0,22.2,31.7,40.0,44.0,75.4,17.233333333333317,23.483333333333366,30.691666666666677,39.24583333333334,42.05,158.6,6.7,58.09333333333333,1764-10-31,28.0
